age_group,job_title,annual_salary_usd,compensation_usd,currency,country,state,city,overall_exp,field_exp,degree,gender,job_category,career_level
45-54,Senior Software Developer,190000.0,80000.0,USD,United States,California,Los Angeles,25.5,25.5,College,Man,Engineering & Development,Lead/Executive
25-34,Senior Recruiter,150000.0,60000.0,USD,United States,California,Sf,6.0,6.0,College,Man,HR,Senior
35-44,Learning And Development Manager,83571.0,0.0,CAD,Canada,N/A,Toronto,15.5,9.0,College,Woman,Management,Lead/Executive
35-44,Staff Scientist Iii,154000.0,200000.0,USD,United States,Arizona,Chandler,15.5,9.0,PhD,Man,Scientist,Lead/Executive
35-44,Counsellor,40053.0,0.0,GBP,United Kingdom,N/A,Bournemouth,9.0,9.0,College,Woman,Legal Services,Senior
25-34,Assistant Director Student Services,48500.0,0.0,USD,United States,Pennsylvania,Pittsburgh,6.0,3.0,Masters,Woman,Management,Senior
45-54,Manager,39286.0,0.0,CAD,Canada,N/A,Halifax,25.5,25.5,College,Woman,Management,Lead/Executive
45-54,Administrative Assistant,40000.0,0.0,USD,United States,Illinois,Chicago,25.5,9.0,College,Woman,Administrative & Operations,Lead/Executive
35-44,Casino Marketing Executive,80000.0,25000.0,USD,United States,Nevada,Las Vegas,15.5,15.5,College,Man,Marketing & Sales,Lead/Executive
35-44,Senior Manager,185000.0,10000.0,USD,United States,Texas,Austin,15.5,15.5,College,Man,Management,Lead/Executive
45-54,Legal Assistant,68000.0,0.0,USD,United States,Michigan,Farmington Hills,35.5,25.5,High School,Woman,Legal Services,Lead/Executive
25-34,Exhibitions Preparator,44000.0,0.0,USD,United States,Oregon,Bend,6.0,6.0,Masters,Woman,Unclassifiable,Senior
35-44,Chief Of Staff,106000.0,0.0,USD,United States,California,Sacramento,15.5,0.5,College,Woman,Management,Lead/Executive
35-44,Lead Product Designer,150000.0,20000.0,USD,United States,New York,Nyc,15.5,15.5,Masters,Woman,Management,Lead/Executive
35-44,Lead Analyst,104000.0,11000.0,USD,United States,Illinois,Naperville,25.5,15.5,College,Woman,Analytics,Lead/Executive
25-34,Consolidation Manager,102000.0,10000.0,USD,United States,Kentucky,Mount Washington,9.0,9.0,Masters,Woman,Management,Senior
