age_group,job_title,annual_salary_usd,compensation_usd,currency,country,state,city,overall_exp,field_exp,degree,gender,job_category,career_level
25-34,Research And Instruction Librarian,55000.0,0.0,USD,United States,Massachusetts,Boston,6.0,6.0,Masters,Woman,Management,Senior
25-34,Change & Internal Communications Manager,72897.0,5340.0,GBP,United Kingdom,N/A,Cambridge,9.0,6.0,College,Man,Management,Senior
25-34,Marketing Specialist,34000.0,0.0,USD,United States,Tennessee,Chattanooga,3.0,3.0,College,Woman,Marketing & Sales,Mid Level
25-34,Program Manager,62000.0,3000.0,USD,United States,Wisconsin,Milwaukee,9.0,6.0,College,Woman,Management,Senior
25-34,Accounting Manager,60000.0,7000.0,USD,United States,South Carolina,Greenville,9.0,6.0,College,Woman,Management,Senior
25-34,Scholarly Publishing Librarian,62000.0,0.0,USD,United States,New Hampshire,Hanover,9.0,3.0,Masters,Man,Library & Information Services,Senior
25-34,Publishing Assistant,33000.0,2000.0,USD,United States,South Carolina,Columbia,3.0,3.0,College,Woman,Administrative & Operations,Mid Level
25-34,Publishing Assistant,33000.0,2000.0,USD,United States,South Carolina,Columbia,3.0,3.0,College,Woman,Administrative & Operations,Mid Level
25-34,Librarian,50000.0,0.0,USD,United States,Arizona,Yuma,6.0,6.0,Masters,Man,Library & Information Services,Senior
45-54,Systems Analyst,112000.0,10000.0,USD,United States,Missouri,St. Louis,25.5,25.5,College,Woman,Analytics,Lead/Executive
35-44,Senior Accountant,45000.0,0.0,USD,United States,Florida,Palm Coast,25.5,25.5,College,Woman,Accountant & Finance,Lead/Executive
25-34,Office Manager,47500.0,0.0,USD,United States,N/A,"Boston, Ma",6.0,6.0,College,Woman,Administrative & Operations,Senior
35-44,Deputy Title Ix Coordinator/ Assistant Director Office Of Equity And Diversity,62000.0,0.0,USD,United States,Pennsylvania,Scranton,15.5,6.0,PhD,Woman,Administrative & Operations,Lead/Executive
35-44,Manager Of Information Services,100000.0,0.0,USD,United States,Michigan,Detroit,15.5,15.5,College,Man,Management,Lead/Executive
25-34,Legal Aid Staff Attorney,52000.0,0.0,USD,United States,Minnesota,Saint Paul,3.0,3.0,Unknown,Woman,Legal Services,Mid Level
18-24,Patient Care Coordinator,22857.0,0.0,CAD,Canada,N/A,Remote,0.5,0.5,College,Woman,Administrative & Operations,Entry Level
35-44,Quality And Compliance Specialist,32043.0,668.0,GBP,United Kingdom,N/A,Lincoln,15.5,6.0,College,Man,Specialist,Lead/Executive
35-44,Executive Assistant,85000.0,5000.0,USD,United States,Illinois,Chicago,9.0,9.0,College,Woman,Administrative & Operations,Senior
45-54,Graphic Designer,59000.0,0.0,USD,United States,California,Pomona,25.5,25.5,College,Woman,Creative & Media,Lead/Executive
35-44,Senior Manager,98000.0,1000.0,USD,United States,Georgia,Atlanta,15.5,3.0,Masters,Woman,Management,Lead/Executive
35-44,Assistant Director Of Academic Advising,54000.0,0.0,USD,United States,Florida,Boca Raton,15.5,15.5,Masters,Woman,Management,Lead/Executive
25-34,Data Programmer Analyst,74000.0,0.0,USD,United States,Pennsylvania,Philadelphia,6.0,6.0,Masters,Woman,Analytics,Senior
35-44,Program Coordinator & Assistant Editor,50000.0,0.0,USD,United States,N/A,Atlanta,6.0,3.0,PhD,Woman,Creative & Media,Senior
35-44,Event Planner,45000.0,0.0,CAD,Canada,N/A,Toronto,15.5,9.0,Masters,Woman,Management,Lead/Executive
35-44,Researcher,96000.0,1000.0,USD,United States,Ohio,Dayton,9.0,3.0,PhD,Woman,Researcher,Senior
25-34,Teen Librarian,44500.0,0.0,USD,United States,Florida,Bradenton,6.0,3.0,Unknown,Woman,Library & Information Services,Senior
25-34,Teen Librarian,44500.0,0.0,USD,United States,Florida,Bradenton,6.0,3.0,Unknown,Woman,Library & Information Services,Senior
35-44,Communications Specialist,60000.0,0.0,USD,United States,Michigan,Ann Arbor,15.5,0.5,Masters,Woman,Marketing & Sales,Lead/Executive
25-34,Program Director,62000.0,0.0,USD,United States,District Of Columbia,Washington Dc,6.0,3.0,College,Man,Management,Senior
35-44,Bookkeeper/Billing Manager,48000.0,4000.0,USD,United States,Maryland,Silver Spring,15.5,3.0,College,Woman,Accountant & Finance,Lead/Executive
35-44,Economist,140000.0,0.0,USD,United States,District Of Columbia,Washington,15.5,15.5,Masters,Woman,Researcher,Lead/Executive
25-34,Research Engineer,80000.0,0.0,USD,United States,Texas,San Antonio,6.0,6.0,College,Woman,Engineering & Development,Senior
25-34,Volunteer And Giving Coordinator,39000.0,0.0,USD,United States,Minnesota,Minneapolis,3.0,3.0,College,Woman,Administrative & Operations,Mid Level
35-44,Editor,125000.0,0.0,USD,United States,District Of Columbia,"Washington, Dc",15.5,9.0,Masters,Woman,Creative & Media,Lead/Executive
25-34,Financial Advisor,230000.0,0.0,USD,United States,Missouri,St. Louis,15.5,15.5,College,Woman,Consulting & Strategy,Lead/Executive
35-44,Accounting Manager,110000.0,15000.0,USD,United States,Virginia,Richmond,25.5,15.5,College,Woman,Management,Lead/Executive
25-34,Administrative And Hr Manager,50000.0,0.0,USD,United States,District Of Columbia,Washington,6.0,3.0,College,Woman,Management,Senior
35-44,Senior Irb Analyst,68000.0,0.0,USD,United States,North Carolina,Research Triangle,6.0,3.0,Masters,Woman,Analytics,Senior
18-24,Reporter,41000.0,100.0,USD,United States,Michigan,Kalamazoo,3.0,3.0,College,Woman,Creative & Media,Mid Level
25-34,Senior Administrator,76000.0,10000.0,USD,United States,New York,Manhattan,6.0,3.0,College,Woman,Administrative & Operations,Senior
35-44,Staff Services Manager Ii,78000.0,0.0,USD,United States,California,Sacramento,9.0,6.0,Masters,Woman,Management,Senior
25-34,Receptionist,37000.0,0.0,USD,United States,Texas,Dallas,3.0,3.0,College,Woman,Administrative & Operations,Mid Level
45-54,Lead Engineer,100000.0,50000.0,USD,United States,Georgia,Waynesboro,25.5,25.5,College,Woman,Engineering & Development,Lead/Executive
35-44,Senior Copywriter,46729.0,8011.0,GBP,United Kingdom,N/A,Liverpool,15.5,15.5,College,Woman,Creative & Media,Lead/Executive
25-34,Manager Of Data Integrity And Prospect Research,65000.0,0.0,USD,United States,Virginia,Richmond,6.0,6.0,College,Man,Management,Senior
25-34,Principal Software Engineer,187500.0,5000.0,USD,United States,Pennsylvania,Pittsburgh,9.0,6.0,College,Woman,Engineering & Development,Senior
25-34,Intelligence Analyst,110000.0,20000.0,USD,United States,Virginia,"Arlington, Va",9.0,9.0,Masters,Man,Analytics,Senior
25-34,Project Manager,66625.0,1500.0,USD,United States,Massachusetts,Boston,9.0,9.0,College,Woman,Management,Senior
35-44,Mobile Developer,144600.0,2500.0,USD,United States,Massachusetts,Boston,6.0,6.0,PhD,Woman,Engineering & Development,Senior
35-44,Product Design Director,200850.0,40000.0,USD,United States,North Carolina,Chapel Hill,15.5,15.5,College,Woman,Management,Lead/Executive
25-34,Engineering Specialist,85714.0,1071.0,CAD,Canada,N/A,Vancouver,15.5,9.0,College,Woman,Engineering & Development,Lead/Executive
25-34,Manager Total Rewards,69643.0,7143.0,CAD,Canada,N/A,Toronto,9.0,9.0,College,Woman,Management,Senior
35-44,Research And Development Engineer 3,96000.0,0.0,USD,United States,California,Berkeley,6.0,6.0,PhD,Woman,Engineering & Development,Senior
25-34,Science Teacher (Public High School),53000.0,1000.0,USD,United States,Minnesota,Apple Valley,6.0,0.5,Masters,Woman,Education & Training,Senior
25-34,Senior Manager Programmatic,95000.0,10000.0,USD,United States,Illinois,Chicago,9.0,9.0,College,Woman,Management,Senior
35-44,Managed Services Sales Coordinator,72000.0,3000.0,USD,United States,Michigan,Troy,15.5,6.0,Masters,Woman,Administrative & Operations,Lead/Executive
35-44,Editor,37143.0,0.0,CAD,Canada,N/A,Toronto,15.5,15.5,College,Woman,Creative & Media,Lead/Executive
35-44,Water Resources Engineer,106000.0,0.0,USD,United States,Massachusetts,Boston,25.5,15.5,Masters,Woman,Engineering & Development,Lead/Executive
25-34,Program Officer,115000.0,0.0,USD,United States,District Of Columbia,Dc,6.0,6.0,PhD,Woman,Administrative & Operations,Senior
25-34,Account Supervisor,100500.0,3000.0,USD,United States,District Of Columbia,Washington,15.5,6.0,College,Woman,Accountant & Finance,Lead/Executive
25-34,Legal Secretary,33200.0,0.0,USD,United States,New Jersey,Linden,9.0,3.0,College,Woman,Administrative & Operations,Senior
35-44,Policy Lead,69426.0,0.0,GBP,United Kingdom,N/A,Bristol,15.5,15.5,Masters,Woman,Management,Lead/Executive
25-34,Coordinator,52000.0,0.0,USD,United States,Illinois,Champaign,9.0,9.0,College,Woman,Administrative & Operations,Senior
25-34,Senior Advisor,56429.0,0.0,CAD,Canada,N/A,Nova Scotia,9.0,6.0,Masters,Woman,Consulting & Strategy,Senior
65 or over,Safety Director,104000.0,25000.0,USD,United States,Georgia,Atlanta,40.0,25.5,College,Man,Management,Lead/Executive
25-34,Secondary School Educator,53571.0,0.0,CAD,Canada,N/A,Ottawa,6.0,3.0,College,Woman,Education & Training,Senior
18-24,Downstream Process Development Research Associate I,52000.0,0.0,USD,United States,Texas,Bryan,3.0,3.0,College,Woman,Researcher,Mid Level
18-24,Downstream Process Development Research Associate I,52000.0,0.0,USD,United States,Texas,Bryan,3.0,3.0,College,Woman,Researcher,Mid Level
25-34,Research Programmer,70000.0,0.0,USD,United States,Rhode Island,Providence,6.0,3.0,Masters,Man,Engineering & Development,Senior
25-34,Manager Natural Climate Solutions Development,84000.0,8400.0,USD,United States,District Of Columbia,District Of Columbia,6.0,6.0,Masters,Woman,Management,Senior
35-44,Ar Manager,53000.0,0.0,USD,United States,Illinois,Bloomington,25.5,15.5,Masters,Woman,Management,Lead/Executive
25-34,Technical Specialist,34000.0,2000.0,USD,United States,Minnesota,Minneapolis,6.0,6.0,College,Woman,Specialist,Senior
25-34,Programming Coordinator,38000.0,0.0,USD,United States,Colorado,Denver,6.0,3.0,Masters,Woman,Administrative & Operations,Senior
25-34,City Research Scientist Ii,87000.0,0.0,USD,United States,New York,New York City,6.0,3.0,Masters,Man,Scientist,Senior
35-44,Project Engineer,122000.0,3600.0,USD,United States,N/A,Colorado Springs,15.5,15.5,Masters,Woman,Engineering & Development,Lead/Executive
25-34,Pricing Analyst,60080.0,2670.0,GBP,United Kingdom,N/A,Southampton,6.0,3.0,Masters,Woman,Analytics,Senior
25-34,Marketing Coordinator,45000.0,0.0,USD,United States,South Carolina,Columbia,6.0,6.0,College,Woman,Administrative & Operations,Senior
35-44,Tech Writer,88000.0,0.0,USD,United States,Maryland,Prefer Not To Answer,15.5,9.0,College,Woman,Creative & Media,Lead/Executive
35-44,Supervisory Archivist,71000.0,0.0,USD,United States,New York,Nyc (Remotely),15.5,9.0,Masters,Woman,Administrative & Operations,Lead/Executive
45-54,Program Manager,71000.0,0.0,USD,United States,Illinois,Champaign,15.5,15.5,PhD,Woman,Management,Lead/Executive
35-44,High School Teacher At An Independent School,75000.0,0.0,USD,United States,Georgia,Atlanta,15.5,15.5,Masters,Woman,Education & Training,Lead/Executive
35-44,Manager Of Market Research And Data,80000.0,0.0,USD,United States,North Carolina,Raleigh,25.5,15.5,Masters,Woman,Management,Lead/Executive
35-44,Senior Business Analyst,125000.0,0.0,USD,United States,New York,New York,15.5,9.0,Masters,Woman,Analytics,Lead/Executive
35-44,Special Collections Cataloger,65000.0,0.0,USD,United States,Pennsylvania,-----,15.5,15.5,Masters,Woman,Specialist,Lead/Executive
45-54,Teacher,48064.0,0.0,GBP,Scotland,N/A,Edinburgh,25.5,25.5,College,Woman,Education & Training,Lead/Executive
25-34,Graphic Designer / Webmaster,55000.0,0.0,USD,United States,Minnesota,St. Paul,3.0,3.0,College,Woman,Creative & Media,Mid Level
25-34,Senior Ux Designer,90000.0,1000.0,USD,United States,Pennsylvania,Philadelphia,15.5,9.0,College,Woman,Engineering & Development,Lead/Executive
35-44,Senior Engineer,105000.0,13000.0,USD,United States,Pennsylvania,Philadelphia (Suburbs),9.0,6.0,College,Woman,Engineering & Development,Senior
35-44,Office Administrator,42857.0,0.0,CAD,Canada,N/A,"Kitchener, Ontario",15.5,15.5,High School,Man,Administrative & Operations,Lead/Executive
35-44,Digital Archivist,65000.0,0.0,USD,United States,Pennsylvania,Philadelphia,15.5,9.0,Masters,Woman,Administrative & Operations,Lead/Executive
25-34,Associate Program Manager,85000.0,8500.0,USD,United States,Illinois,Chicago,6.0,3.0,Masters,Woman,Management,Senior
25-34,Csr,39520.0,0.0,USD,United States,Oregon,Portland,9.0,3.0,College,Woman,Administrative & Operations,Senior
25-34,Csr,39520.0,0.0,USD,United States,Oregon,Portland,9.0,3.0,College,Woman,Administrative & Operations,Senior
45-54,Director Of Engineering,82143.0,0.0,CAD,Canada,N/A,Ottawa,25.5,25.5,Masters,Man,Engineering & Development,Lead/Executive
25-34,Fuel Efficiency Program Analyst,76000.0,0.0,USD,United States,District Of Columbia,Washington,9.0,6.0,College,Woman,Analytics,Senior
55-64,Senior Vice President Of Marketing,180000.0,60000.0,USD,United States,Massachusetts,Boston,35.5,15.5,Masters,Woman,Marketing & Sales,Lead/Executive
25-34,Accounting Manager,90000.0,0.0,USD,United States,Tennessee,Nashville,6.0,6.0,Masters,Woman,Management,Senior
25-34,Technical Assistant,25768.0,0.0,GBP,United Kingdom,N/A,"Newcastle, Uk",6.0,6.0,College,Man,Administrative & Operations,Senior
55-64,Senior Administrative Assistant And Project Specialist,65000.0,5000.0,USD,United States,Washington,Seattle,35.5,15.5,Masters,Woman,Administrative & Operations,Lead/Executive
45-54,Senior Web Application Developer,98166.0,0.0,USD,United States,Indiana,Indianapolis,25.5,25.5,College,Man,Engineering & Development,Lead/Executive
25-34,Director Of Development,63500.0,0.0,USD,United States,Tennessee,Nashville,6.0,0.5,Masters,Woman,Management,Senior
25-34,Program & Administrative Assistant,47700.0,2000.0,USD,United States,District Of Columbia,Washington,6.0,3.0,College,Woman,Administrative & Operations,Senior
55-64,Chief Engineer,87000.0,8000.0,USD,United States,Ohio,Solon,35.5,35.5,College,Man,Engineering & Development,Lead/Executive
35-44,Production Co-Ordinator,34286.0,0.0,CAD,Canada,N/A,Montreal,9.0,9.0,College,Woman,Management,Senior
25-34,Administrative Support Assistant,39635.0,305.0,USD,United States,Florida,Gainesville,3.0,3.0,College,Woman,Administrative & Operations,Mid Level
25-34,Administrative Officer,53000.0,0.0,USD,United States,North Carolina,Troy,9.0,6.0,College,Man,Administrative & Operations,Senior
45-54,Executive Secretary/Secretary To Board Of School Trustees,47255.0,0.0,USD,United States,Indiana,Lafayette,35.5,25.5,College,Woman,Education & Training,Lead/Executive
35-44,Senior Project Manager,196000.0,10000.0,USD,United States,New York,New York,15.5,15.5,College,Man,Management,Lead/Executive
45-54,Customer Service Representative,34361.0,0.0,USD,United States,Arizona,Phoenix,25.5,15.5,College,Woman,Marketing & Sales,Lead/Executive
45-54,Senior Device Engineer,150000.0,20000.0,USD,United States,Colorado,Boulder,25.5,25.5,College,Woman,Engineering & Development,Lead/Executive
25-34,Graphic Designer,75000.0,0.0,USD,United States,New York,New York City,6.0,6.0,College,Woman,Creative & Media,Senior
35-44,Graduate Student,20000.0,0.0,USD,United States,Minnesota,Minneapolis,6.0,3.0,College,Woman,Student,Senior
25-34,Senior Financial Analyst,107220.0,16083.0,USD,United States,Texas,Austin,9.0,6.0,Masters,Woman,Analytics,Senior
35-44,Case Manager,55714.0,0.0,CAD,Canada,N/A,Halifax,15.5,6.0,College,Woman,Management,Lead/Executive
45-54,Professor,95000.0,10000.0,USD,United States,Michigan,Detroit,25.5,15.5,PhD,Man,Education & Training,Lead/Executive
45-54,Office Manager,42000.0,0.0,USD,United States,New Hampshire,Portsmouth,25.5,15.5,Masters,Woman,Administrative & Operations,Lead/Executive
45-54,Office Manager,42000.0,0.0,USD,United States,New Hampshire,Portsmouth,25.5,15.5,Masters,Woman,Administrative & Operations,Lead/Executive
25-34,Finance Manager,100000.0,5000.0,USD,United States,New York,New York,6.0,6.0,Masters,Woman,Management,Senior
25-34,Software Engineer,66756.0,0.0,GBP,United Kingdom,N/A,Nottingham,6.0,3.0,High School,Man,Engineering & Development,Senior
35-44,Medical Education Director,119000.0,2500.0,USD,United States,California,Prefer Not To Answer,15.5,9.0,College,Woman,Management,Lead/Executive
45-54,Finance Acountant,88117.0,6676.0,GBP,United Kingdom,N/A,Glasgow,25.5,25.5,Masters,Woman,Accountant & Finance,Lead/Executive
35-44,Program Manager,69606.0,3480.0,EUR,Netherlands,N/A,The Hague,15.5,15.5,Masters,Woman,Management,Lead/Executive
25-34,Associate Director Of Donor Relations,75000.0,0.0,USD,United States,Massachusetts,Boston,15.5,15.5,College,Woman,Management,Lead/Executive
35-44,Assistant Professor Of Law,145000.0,15000.0,USD,United States,New York,New York City,3.0,3.0,PhD,Woman,Education & Training,Mid Level
25-34,Investment Advisor,67857.0,7143.0,CAD,Canada,N/A,Calgary,3.0,3.0,College,Woman,Consulting & Strategy,Mid Level
25-34,Content Writer,48000.0,2000.0,USD,United States,Missouri,Kansas City,6.0,6.0,Masters,Woman,Creative & Media,Senior
45-54,Assistant Director Of Finance,75000.0,10000.0,USD,United States,Illinois,Chicago,25.5,25.5,College,Woman,Management,Lead/Executive
35-44,Digital Marketing Specialist,42000.0,0.0,USD,United States,Pennsylvania,Scranton,15.5,15.5,College,Woman,Marketing & Sales,Lead/Executive
35-44,Archivist,54000.0,100.0,USD,United States,Iowa,Dubuque,25.5,9.0,Masters,Woman,Administrative & Operations,Lead/Executive
35-44,Assistant Professor,65714.0,0.0,CAD,Canada,N/A,"London, On Can",6.0,6.0,PhD,Woman,Education & Training,Senior
45-54,Head Of Public Sector Data Sharing,67917.0,0.0,GBP,United Kingdom,N/A,Cardiff,25.5,15.5,Masters,Woman,Management,Lead/Executive
55-64,Qc Supervisor,60000.0,500.0,USD,United States,California,San Diego,35.5,35.5,College,Woman,Library & Information Services,Lead/Executive
55-64,Content Development Manager,101500.0,0.0,USD,United States,District Of Columbia,Washington,35.5,25.5,College,Woman,Management,Lead/Executive
25-34,Clinical Research Assistant Ii,36883.0,150.0,USD,United States,Massachusetts,Belmont,3.0,3.0,College,Woman,Researcher,Mid Level
25-34,News Editor,85000.0,0.0,USD,United States,New York,New York City,15.5,15.5,College,Woman,Creative & Media,Lead/Executive
25-34,Senior Administrative Assistant,62000.0,0.0,USD,United States,Massachusetts,Cambridge,6.0,6.0,College,Woman,Administrative & Operations,Senior
35-44,Product Manager,130000.0,0.0,USD,United States,N/A,Philadelphia,15.5,15.5,College,Man,Management,Lead/Executive
55-64,Career Services Professional,55000.0,0.0,USD,United States,N/A,Indianapolis,25.5,25.5,Masters,Woman,Unclassifiable,Lead/Executive
25-34,Project Coordinator,59015.0,0.0,USD,United States,New Jersey,Whippany,9.0,9.0,College,Woman,Administrative & Operations,Senior
25-34,Associate Manager Education,71000.0,3000.0,USD,United States,New York,New York City,6.0,6.0,College,Woman,Management,Senior
45-54,Director,53000.0,0.0,USD,United States,Wisconsin,Jefferson,25.5,9.0,Masters,Woman,Management,Lead/Executive
25-34,Senior Librarian,63000.0,0.0,USD,United States,Virginia,Manassas,6.0,6.0,Masters,Woman,Library & Information Services,Senior
35-44,Project Estimator,95000.0,5000.0,USD,United States,Michigan,Detroit Metro Area,25.5,25.5,College,Woman,Business,Lead/Executive
35-44,Customer Advocate,35000.0,3000.0,USD,United States,Pennsylvania,Newtown Square,15.5,15.5,College,Woman,Social Services,Lead/Executive
18-24,Customer Service Specialist,33280.0,500.0,USD,United States,Florida,"Small City, Remote, National Company",6.0,3.0,College,Man,Marketing & Sales,Senior
35-44,Accounts Payable Manager,56000.0,2500.0,USD,United States,Tennessee,Memphis,15.5,9.0,College,Woman,Management,Lead/Executive
35-44,Associate Director,85000.0,0.0,USD,United States,Illinois,Chicago,15.5,15.5,College,Woman,Management,Lead/Executive
35-44,Editor,62000.0,0.0,USD,United States,Texas,Dallas,15.5,15.5,College,Woman,Creative & Media,Lead/Executive
25-34,Staff Attorney,74000.0,0.0,USD,United States,Michigan,Grand Rapids,9.0,3.0,Masters,Man,Legal Services,Senior
25-34,Program Associate,63000.0,1000.0,USD,United States,District Of Columbia,Dc,6.0,3.0,College,Woman,Administrative & Operations,Senior
25-34,Senior People Advisor,60080.0,13351.0,GBP,United Kingdom,N/A,London,15.5,9.0,College,Woman,Consulting & Strategy,Lead/Executive
35-44,Online Sales Support Manager,86000.0,6000.0,USD,United States,N/A,New York,15.5,9.0,College,Woman,Management,Lead/Executive
18-24,Phd Candidate,25367.0,0.0,GBP,United Kingdom,N/A,Cambridge,3.0,0.5,Masters,Man,Education & Training,Mid Level
35-44,Research Technologist,42000.0,0.0,USD,United States,Nebraska,Omaha,15.5,15.5,Masters,Man,Researcher,Lead/Executive
55-64,Rim Manager,114000.0,30000.0,USD,United States,Massachusetts,Cambridge,25.5,9.0,College,Man,Management,Lead/Executive
45-54,Senior Client Service Representative,73000.0,0.0,USD,United States,Colorado,Denver,35.5,35.5,High School,Woman,Marketing & Sales,Lead/Executive
35-44,Funding Manager,72096.0,0.0,GBP,United Kingdom,N/A,London,15.5,15.5,College,Woman,Management,Lead/Executive
45-54,Clinical Analyst,100000.0,0.0,USD,United States,Georgia,Gainesville,25.5,15.5,Masters,Woman,Analytics,Lead/Executive
25-34,Editor,36048.0,0.0,GBP,United Kingdom,N/A,Oxford,15.5,6.0,College,Woman,Creative & Media,Lead/Executive
25-34,Editor,36048.0,0.0,GBP,United Kingdom,N/A,Oxford,15.5,6.0,College,Woman,Creative & Media,Lead/Executive
18-24,Policy Analyst,60129.0,3000.0,USD,United States,District Of Columbia,Washington Dc,3.0,0.5,Masters,Woman,Analytics,Mid Level
45-54,Research Scientist,135000.0,0.0,USD,United States,Texas,San Antonio,15.5,15.5,PhD,Woman,Scientist,Lead/Executive
25-34,Service Designer,130000.0,0.0,USD,United States,Virginia,Mclean,15.5,6.0,College,Woman,Creative & Media,Lead/Executive
25-34,Librarian,26000.0,0.0,USD,United States,Oklahoma,Ardmore,3.0,3.0,Masters,Woman,Library & Information Services,Mid Level
25-34,Librarian,26000.0,0.0,USD,United States,Oklahoma,Ardmore,3.0,3.0,Masters,Woman,Library & Information Services,Mid Level
25-34,Senior Accountant,60000.0,0.0,USD,United States,Ohio,Columbus,6.0,6.0,Masters,Woman,Accountant & Finance,Senior
35-44,Administrative Assistant,37000.0,0.0,USD,United States,Ohio,Shaker Hts,15.5,6.0,College,Woman,Administrative & Operations,Lead/Executive
25-34,User Experience Specialist,85000.0,3000.0,USD,United States,South Carolina,Charleston,6.0,6.0,College,Woman,Specialist,Senior
35-44,Self-Employed Writer,45000.0,20000.0,USD,United States,Texas,Austin,15.5,15.5,College,Woman,Creative & Media,Lead/Executive
25-34,Director Of Development,92000.0,0.0,USD,United States,Massachusetts,Boston,9.0,6.0,Masters,Woman,Management,Senior
25-34,Production Technician,65000.0,4000.0,USD,United States,Wisconsin,Madison,6.0,3.0,College,Man,Manual Labor,Senior
35-44,Graphic Designer,35000.0,0.0,USD,United States,Indiana,Mishawaka,15.5,15.5,College,Woman,Creative & Media,Lead/Executive
25-34,Compliance Officer,74000.0,1000.0,USD,United States,Oklahoma,Tulsa,9.0,6.0,College,Woman,Administrative & Operations,Senior
25-34,Director Of Intelligence,102500.0,20000.0,USD,United States,Florida,Tampa,6.0,6.0,College,Man,Management,Senior
25-34,Program Analyst,117500.0,1500.0,USD,United States,N/A,Washington Dc,9.0,6.0,Masters,Man,Analytics,Senior
35-44,Coordinator Of Survivor Services,70000.0,0.0,USD,United States,Pennsylvania,Philadelphia,15.5,15.5,Masters,Woman,Administrative & Operations,Lead/Executive
45-54,Software Development Manager,140000.0,5000.0,USD,United States,Colorado,Denver,25.5,15.5,College,Woman,Engineering & Development,Lead/Executive
35-44,Project Architect,58000.0,4000.0,USD,United States,New Jersey,Lambertville,15.5,9.0,Masters,Woman,Engineering & Development,Lead/Executive
35-44,Project Architect,58000.0,4000.0,USD,United States,New Jersey,Lambertville,15.5,9.0,Masters,Woman,Engineering & Development,Lead/Executive
35-44,Brand Consultant,400000.0,0.0,USD,United States,New York,Chatham,15.5,15.5,College,Woman,Consulting & Strategy,Lead/Executive
35-44,Hr Director,61200.0,0.0,USD,United States,Illinois,Skokie,15.5,15.5,Masters,Woman,Management,Lead/Executive
25-34,Marketing Director,113485.0,13351.0,GBP,United Kingdom,N/A,London,9.0,9.0,College,Woman,Management,Senior
25-34,Talent Acquisition Specialist,66000.0,0.0,USD,United States,Georgia,Alpharetta,3.0,3.0,College,Woman,Specialist,Mid Level
35-44,Technical Support Specialist,70000.0,0.0,USD,United States,Texas,Austin,9.0,6.0,College,Woman,Specialist,Senior
25-34,Communications Specialist,52000.0,0.0,USD,United States,Massachusetts,Boston,6.0,6.0,College,Woman,Marketing & Sales,Senior
45-54,Cad Manager,75500.0,5000.0,USD,United States,Florida,Northeast Florida,25.5,15.5,College,Woman,Management,Lead/Executive
25-34,Content Strategist And Writer,57000.0,0.0,USD,United States,Virginia,Richmond,9.0,3.0,Masters,Woman,Consulting & Strategy,Senior
25-34,Associate,83200.0,0.0,USD,United States,District Of Columbia,Washington Dc,9.0,9.0,Masters,Woman,Management,Senior
18-24,Manager Planning,77500.0,0.0,USD,United States,New York,New York City,3.0,3.0,College,Woman,Management,Mid Level
35-44,Fulfillment Expert,31200.0,0.0,USD,United States,Florida,Altamonte Springs,15.5,0.5,College,Woman,Management,Lead/Executive
25-34,Midwife,41389.0,1335.0,GBP,United Kingdom,N/A,Brighton,3.0,0.5,Masters,Woman,Manual Labor,Mid Level
35-44,Associate Creative Director,215000.0,10000.0,USD,United States,New York,New York City,15.5,15.5,College,Woman,Management,Lead/Executive
45-54,Senior Corporate Counsel,220000.0,0.0,USD,United States,California,San Francisco,15.5,15.5,PhD,Woman,Legal Services,Lead/Executive
25-34,Head Of Data & Analytics,100000.0,0.0,USD,United States,Illinois,Chicago,9.0,9.0,College,Woman,Analytics,Senior
25-34,Systems Analyst,80000.0,0.0,USD,United States,N/A,Portland,6.0,3.0,Masters,Woman,Analytics,Senior
35-44,Associate Director,63000.0,2000.0,USD,United States,Texas,El Paso,15.5,9.0,Unknown,Woman,Management,Lead/Executive
25-34,Librarian,52500.0,0.0,USD,United States,North Carolina,Research Triangle Region,6.0,6.0,Masters,Woman,Library & Information Services,Senior
25-34,Ux Designer,41763.0,0.0,EUR,France,N/A,Lyon,3.0,3.0,Masters,Woman,Engineering & Development,Mid Level
25-34,Lead Business Controls Specialist,94000.0,0.0,USD,United States,Illinois,Chicago,3.0,3.0,College,Woman,Management,Mid Level
25-34,Product Engineer,57000.0,0.0,USD,United States,Washington,Seattle,6.0,6.0,College,Woman,Engineering & Development,Senior
35-44,Senior Technical Writer,83000.0,8000.0,USD,United States,California,San Diego,9.0,6.0,College,Woman,Creative & Media,Senior
35-44,Senior Director,90000.0,0.0,USD,United States,District Of Columbia,"Washington, Dc",15.5,15.5,College,Woman,Management,Lead/Executive
35-44,Hotel Sales Manager,66950.0,0.0,USD,United States,Indiana,Indianapolis,9.0,6.0,College,Woman,Management,Senior
25-34,Planner,76000.0,0.0,USD,United States,California,Merced,3.0,3.0,College,Woman,Management,Mid Level
25-34,Principal Engineer,69426.0,8011.0,GBP,United Kingdom,N/A,Aberdeen,9.0,9.0,Masters,Woman,Engineering & Development,Senior
25-34,Information And Program Manager,70000.0,5000.0,USD,United States,Pennsylvania,Pittsburgh,9.0,6.0,Masters,Woman,Management,Senior
25-34,Assistant Professor,60000.0,2500.0,USD,United States,N/A,Birmingham,3.0,3.0,PhD,Man,Education & Training,Mid Level
35-44,Media And Pr,80000.0,0.0,USD,United States,Nebraska,Omaha,15.5,15.5,Masters,Woman,Medica & Creative,Lead/Executive
